,x,state/non_state
316,Akwei Ethnic Militia (South Sudan),2
317,Civilians (United States),
318,Yar Communal Militia (South Sudan),2
319,Longairo Communal Militia (South Sudan),2
320,Lado Communal Militia (South Sudan),2
321,NAS: National Salvation Front (Lopanyang faction),2
322,Athok Ethnic Militia (South Sudan),2
323,Mundari Communal Militia (South Sudan),2
324,Jal Wau Communal Militia (South Sudan),2
325,Thony Communal Militia (South Sudan),2
326,Government of Ethiopia (1991-),1
327,Panaguong Clan Dinka Ethnic Militia (South Sudan),2
328,Munuki Communal Militia (South Sudan),2
329,SSNMC: South Sudan National Movement for Change (Splinter Faction),2
330,Kidepo Valley Communal Militia (South Sudan),2
331,SSOA: South Sudan Opposition Alliance (Splinter Faction),2
332,SS-UF: South Sudan-United Front (Splinter Faction),2
333,Lou-Paher Clan Dinka Ethnic Militia (South Sudan),2
334,Nyangwara Clan Mundari Ethnic Militia (South Sudan),2
335,SSLM/A: South Sudan Liberation Movement/Army (Splinter Faction),2
336,Prisoners (South Sudan),
337,Police Forces of South Sudan (2011-) Wildlife Police,1
338,Poktap Communal Militia (South Sudan),2
